"text_unit_ids","entity_ids","id"
"00c1dcf4a73ec87361bbad662f2cea7d","['b45241d70f0e43fca764df95b2b81f77' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 'ce54725672a74ebcabe6127577dacb2b' 'dc2cc9016e3f49dbac7232f05cce794d'
 '071a416efbec4f0886c19ac68f6d43cb' '7282c73622b8408e97289d959faff483'
 '3deb220d31f74103aa44870a36a63220' 'af7a1584dd15492cb9a4940e285f57fc'
 '6e8d9029ce4e4ea182367173ab2c7bbf']","00c1dcf4a73ec87361bbad662f2cea7d"
"027d7b5025667133971f6666863353fd","['b45241d70f0e43fca764df95b2b81f77' 'fc01e9baa80e417c9206f941bb279407'
 '0adb2d9941f34ef7b2f7743cc6225844' '101572f552b54e529fe7765c05168981'
 'ad1595a78935472999444c9330e7730e' 'd405c3154d0e48ce96fad4c28fe20590'
 '7923d8521c744bd9aab131c1aea91ffd' 'a97e2ecd870944cfbe71c79bc0fcc752'
 '09f18f81442d4d6d93a90f0fac683f9b' 'e02be3e37ca0454883a4c1fd859c24bb'
 '6e0c81bef5364c988b21bf9b709d9861' '1dbc51475cb04dafa4a8833a8378635e']","027d7b5025667133971f6666863353fd"
"04025c260b3a737ebba61e7f9b20ea49","['b45241d70f0e43fca764df95b2b81f77' '2670deebfa3f4d69bb82c28ab250a209'
 'fc01e9baa80e417c9206f941bb279407' 'd405c3154d0e48ce96fad4c28fe20590'
 '7923d8521c744bd9aab131c1aea91ffd' '5bd156c87ec44e19ae6f8f62e6e50b9d'
 'c1a146d7fb16429ea6d0aa2a55ee597f' 'ede9350632084da5b0b577ff799ab14b'
 'ed559fb4ebde45518849ec803b350fa3' 'f422035f8b78417f98e4d116971cf9f3']","04025c260b3a737ebba61e7f9b20ea49"
"0fdea9c62dd3ed9b98de44392d728454","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'e7ffaee9d31d4d3c96e04f911d0a8f9e' 'f7e11b0e297a44a896dc67928368f600'
 'e1fd0e904a53409aada44442f23a51cb' 'de988724cfdf45cebfba3b13c43ceede'
 '96aad7cb4b7d40e9b7e13b94a67af206' 'c9632a35146940c2a86167c7726d35e9'
 '9646481f66ce4fd2b08c2eddda42fc82' 'd91a266f766b4737a06b0fda588ba40b'
 'bc0e3f075a4c4ebbb7c7b152b65a5625']","0fdea9c62dd3ed9b98de44392d728454"
"1437aec87cb0992578b65b1147734e1d","['b45241d70f0e43fca764df95b2b81f77' '83a6cb03df6b41d8ad6ee5f6fef5f024'
 '1eb829d0ace042089f0746f78729696c' '9ab48505fb1b487babd0d1f6d3a3f980'
 '148fffeb994541b2b4b6dcefda7001a8' '0467928aa65e4a4fba62bdb1467e3a54'
 '43c3390303c6476cb65f584e37c3e81c' 'fa14b16c17e3417dba5a4b473ea5b18d']","1437aec87cb0992578b65b1147734e1d"
"19ed1f909ae57e0ac4e8d54d19c03ece","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'bc0e3f075a4c4ebbb7c7b152b65a5625' '3b040bcc19f14e04880ae52881a89c1c'
 '85c79fd84f5e4f918471c386852204c5' 'dde131ab575d44dbb55289a6972be18f'
 'b462b94ce47a4b8c8fffa33f7242acec' '17ed1d92075643579a712cc6c29e8ddb'
 '3ce7c210a21b4deebad7cc9308148d86' 'd64ed762ea924caa95c8d06f072a9a96'
 'adf4ee3fbe9b4d0381044838c4f889c8' '32ee140946e5461f9275db664dc541a5']","19ed1f909ae57e0ac4e8d54d19c03ece"
"1b14ef8cb8f0c21aee065c204aff83e8","['b45241d70f0e43fca764df95b2b81f77' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 'dc2cc9016e3f49dbac7232f05cce794d' '6ea0cef05f694dcea455478f40674e45'
 '7ab5d53a872f4dfc98f3d386879f3c75' 'af1d0fec22114a3398b8016f5225f9ed'
 'b07a7f088364459098cd8511ff27a4c8' '8870cf2b5df64d2cab5820f67e29b9f1']","1b14ef8cb8f0c21aee065c204aff83e8"
"270fffd7af538ddc9b36416a31b4387d","['b45241d70f0e43fca764df95b2b81f77' '83a6cb03df6b41d8ad6ee5f6fef5f024'
 '1eb829d0ace042089f0746f78729696c' '148fffeb994541b2b4b6dcefda7001a8'
 '0fbcca3f17c649a08aea64b5a7d9ef36']","270fffd7af538ddc9b36416a31b4387d"
"2938825be3acef4e48f6a3974fd79411","['b45241d70f0e43fca764df95b2b81f77' 'bc0e3f075a4c4ebbb7c7b152b65a5625'
 '2670deebfa3f4d69bb82c28ab250a209' 'dc2cc9016e3f49dbac7232f05cce794d'
 '14555b518e954637b83aa762dc03164e' '5d3344f45e654d2c808481672f2f08dd'
 '68762e6f0d1c41cd857c6b964a8e76c3' 'd203efdbfb2f4b2a899abfb31cf72e82']","2938825be3acef4e48f6a3974fd79411"
"31aa0e52f79f3df978e23a3920d67ef5","['b45241d70f0e43fca764df95b2b81f77' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 '4a67211867e5464ba45126315a122a8a' '1eb829d0ace042089f0746f78729696c'
 'd136b08d586d488f9e4188b524c85a29']","31aa0e52f79f3df978e23a3920d67ef5"
